event,mean_CORR,err_CORR,mean_RPR,err_RPR
1.0,0.15797898808342814,0.0008117636212723117,2.514843360309765,0.00907679733530945
2.0,0.14834524541239608,0.00043869318077678057,2.2130134515179334,0.007772464134800739
3.0,0.1484641599973565,0.0004847360665652718,2.2699257518776257,0.007855944980748214
4.0,0.16696487614339334,0.000700391548712159,2.3856828984761735,0.007263548540328725
5.0,0.17094485834458886,0.000826387898569948,2.5089080215914894,0.008342908343646422
6.0,0.170476852574645,0.0011392127736854292,2.4055632497195454,0.011249215502751991
7.0,0.16721815665484535,0.0007272922997193997,2.3820711145784697,0.007965641456849805
8.0,0.17064290741404595,0.0008419046291483897,2.4098645746755443,0.008816456939803019
9.0,0.17017781645714808,0.0007650576110675063,2.454541103745023,0.007567572948866273
10.0,0.19518499730022923,0.0010402164811197788,2.794539994119247,0.008712493748374694
11.0,0.17787947002639076,0.0009037469096087563,2.56360497768776,0.008673681763425737
12.0,0.181676847624018,0.001992340439622548,2.982976003514898,0.021491678714824988
13.0,0.16184205347916547,0.000920791136636612,2.3235851345696155,0.012121005236599711
14.0,0.20811062111555842,0.0027777133941091284,3.689533172199355,0.034326276119690066
15.0,0.1354742551590218,0.0007429169060595771,2.1754466460249806,0.014778125121752701
16.0,0.1793224853585859,0.0013086500062433851,2.622297183297204,0.012081219188735802
17.0,0.17868633366928013,0.0019591182329939004,2.4511370466941624,0.013362631660562589
18.0,0.17055778949955527,0.001751761008665376,2.3124486473106938,0.0129996584076212
19.0,0.16908875722201308,0.0019314059342035478,2.477254194839669,0.018498459443401206
20.0,0.15838381118610015,0.0009754859400766182,2.347459715869014,0.010429444217448229
21.0,0.1550343792065143,0.0012817023545246276,2.246963316767311,0.01523295209935442
22.0,0.15705300855454582,0.002142446196947485,2.2480177018030223,0.025831151727309452
23.0,0.16784479925483878,0.0029298848380074,2.4322942944737784,0.026120896760520863
24.0,0.15540482907189473,0.002773941387476028,2.2535286719718615,0.03983230409160802
25.0,0.20316082347889114,0.005641877019152585,2.715590829641736,0.039332164989191044
26.0,0.16576186966760276,0.004714493468259574,2.4183025485017433,0.06638832917119275
